variables,units,values,description
floatingse.member3.g2e.Py_global,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member3.g2e.Pz_global,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member3.g2e.qdyn_global,Pa,"[2.10441342e+05 1.93640736e+05 1.76907832e+05 1.53142722e+05
 4.63475807e+04 1.35969682e+02 1.36978590e+02]",
floatingse.member4.s,,[0. 1.],
floatingse.member4.joint1,m,[ 0.     0.    14.545],
floatingse.member4.joint2,m,[-5.23435280e+01  1.87902432e-07  1.45450000e+01],
floatingse.member4.layer_thickness,m,[[0.02 0.02]],
floatingse.member4.outer_diameter_in,m,[0.91 0.91],
floatingse.member4.outfitting_factor_in,,[1.],
floatingse.member4.layer_materials,Unavailable,['steel'],
floatingse.member4.ballast_materials,Unavailable,[],
floatingse.member4.gc.d,m,[0.91 0.91],
floatingse.member4.gc.t,m,[0.02],
floatingse.member4.height,m,[52.34352797],
floatingse.member4.outer_diameter,m,[0.91 0.91],
floatingse.member4.wall_thickness,m,[0.02],
floatingse.member4.E,Pa,[2.e+11],
floatingse.member4.G,Pa,[7.93e+10],
floatingse.member4.sigma_y,Pa,[3.45e+08],
floatingse.member4.rho,kg/m**3,[7800.],
floatingse.member4.unit_cost,USD/kg,[0.7],
floatingse.member4.outfitting_factor,,[1.],
floatingse.member4.s_full,m,[0.  0.5 1. ],
floatingse.member4.z_full,m,[ 0.         26.17176399 52.34352797],
floatingse.member4.d_full,m,[0.91 0.91 0.91],
floatingse.member4.t_full,m,[0.02 0.02],
floatingse.member4.E_full,Pa,[2.e+11 2.e+11],
floatingse.member4.G_full,Pa,[7.93e+10 7.93e+10],
floatingse.member4.rho_full,kg/m**3,[7800. 7800.],
floatingse.member4.sigma_y_full,Pa,[3.45e+08 3.45e+08],
floatingse.member4.unit_cost_full,USD/kg,[0.7 0.7],
floatingse.member4.outfitting_full,,[1. 1.],
floatingse.member4.grid_axial_joints,,[],
floatingse.member4.bulkhead_grid,,[0. 1.],
floatingse.member4.bulkhead_thickness,m,[0.02 0.02],
floatingse.member4.ring_stiffener_web_height,m,[0.],
floatingse.member4.ring_stiffener_web_thickness,m,[0.],
floatingse.member4.ring_stiffener_flange_width,m,[0.],
floatingse.member4.ring_stiffener_flange_thickness,m,[0.],
floatingse.member4.ring_stiffener_spacing,m,[0.],
floatingse.member4.axial_stiffener_web_height,m,[0.],
floatingse.member4.axial_stiffener_web_thickness,m,[0.],
floatingse.member4.axial_stiffener_flange_width,m,[0.],
floatingse.member4.axial_stiffener_flange_thickness,m,[0.],
floatingse.member4.axial_stiffener_spacing,rad,[0.],
floatingse.member4.ballast_grid,,[],
floatingse.member4.ballast_density,kg/m**3,[],
floatingse.member4.ballast_volume,m**3,[],
floatingse.member4.ballast_unit_cost,USD/kg,[],
floatingse.member4.s_ghost1,,[0.09552279],
floatingse.member4.s_ghost2,,[0.88059651],
floatingse.member4.s_all,,"[ 0.00000000e+00  9.55227932e-02  9.59048844e-02  5.00000000e-01
  8.80214417e-01  8.80596508e-01  1.00000000e+00 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
floatingse.member4.nodes_xyz,m,"[[ 0.00000000e+00  0.00000000e+00  1.45450000e+01]
 [-5.00000000e+00  1.79489651e-08  1.45450000e+01]
 [-5.02000000e+00  1.80207610e-08  1.45450000e+01]
 [-2.61717640e+01  9.39512159e-08  1.45450000e+01]
 [-4.60735280e+01  1.65394430e-07  1.45450000e+01]
 [-4.60935280e+01  1.65466225e-07  1.45450000e+01]
 [-5.23435280e+01  1.87902432e-07  1.45450000e+01]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]]",
floatingse.member4.env.z,m,[14.545 14.545 14.545],
floatingse.member4.env.windLoads.U,m/s,[14.89937306 14.89937306 14.89937306],
floatingse.member4.env.d,m,[4.76325859e+09 4.76325859e+09 4.76325859e+09],
floatingse.member4.env.waveLoads.U,m/s,[0. 0. 0.],
floatingse.member4.env.waveLoads.A,m/s**2,[0. 0. 0.],
floatingse.member4.env.waveLoads.p,N/m**2,[0. 0. 0.],
floatingse.member4.env.distLoads.windLoads_Px,N/m,[8.967896e+14 8.967896e+14 8.967896e+14],
floatingse.member4.env.distLoads.windLoads_Py,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.windLoads_Pz,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.windLoads_qdyn,N/m**2,[135.96968203 135.96968203 135.96968203],
floatingse.member4.env.distLoads.windLoads_z,m,[14.545 14.545 14.545],
floatingse.member4.env.distLoads.windLoads_beta,deg,[0.],
floatingse.member4.env.distLoads.waveLoads_Px,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.waveLoads_Py,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.waveLoads_Pz,N/m,[0. 0. 0.],
floatingse.member4.env.distLoads.waveLoads_qdyn,N/m**2,[0. 0. 0.],
floatingse.member4.env.distLoads.waveLoads_z,m,[14.545 14.545 14.545],
floatingse.member4.env.distLoads.waveLoads_beta,deg,[0.],
floatingse.member4.yaw,deg,[0.],
floatingse.member4.g2e.Px_global,N/m,[8.967896e+14 8.967896e+14 8.967896e+14],
floatingse.member4.g2e.Py_global,N/m,[0. 0. 0.],
floatingse.member4.g2e.Pz_global,N/m,[0. 0. 0.],
floatingse.member4.g2e.qdyn_global,Pa,[135.96968203 135.96968203 135.96968203],
floatingse.member5.s,,[0. 1.],
floatingse.member5.joint1,m,[ 0.     0.    14.545],
floatingse.member5.joint2,m,[26.17176625 45.33082364 14.545     ],
floatingse.member5.layer_thickness,m,[[0.02 0.02]],
floatingse.member5.outer_diameter_in,m,[0.91 0.91],
floatingse.member5.outfitting_factor_in,,[1.],
floatingse.member5.layer_materials,Unavailable,['steel'],
floatingse.member5.ballast_materials,Unavailable,[],
floatingse.member5.gc.d,m,[0.91 0.91],
floatingse.member5.gc.t,m,[0.02],
floatingse.member5.height,m,[52.34352797],
floatingse.member5.outer_diameter,m,[0.91 0.91],
floatingse.member5.wall_thickness,m,[0.02],
floatingse.member5.E,Pa,[2.e+11],
floatingse.member5.G,Pa,[7.93e+10],
floatingse.member5.sigma_y,Pa,[3.45e+08],
floatingse.member5.rho,kg/m**3,[7800.],
floatingse.member5.unit_cost,USD/kg,[0.7],
floatingse.member5.outfitting_factor,,[1.],
floatingse.member5.s_full,m,[0.  0.5 1. ],
floatingse.member5.z_full,m,[ 0.         26.17176399 52.34352797],
floatingse.member5.d_full,m,[0.91 0.91 0.91],
floatingse.member5.t_full,m,[0.02 0.02],
floatingse.member5.E_full,Pa,[2.e+11 2.e+11],
floatingse.member5.G_full,Pa,[7.93e+10 7.93e+10],
floatingse.member5.rho_full,kg/m**3,[7800. 7800.],
floatingse.member5.sigma_y_full,Pa,[3.45e+08 3.45e+08],
floatingse.member5.unit_cost_full,USD/kg,[0.7 0.7],
floatingse.member5.outfitting_full,,[1. 1.],
floatingse.member5.grid_axial_joints,,[],
floatingse.member5.bulkhead_grid,,[0. 1.],
floatingse.member5.bulkhead_thickness,m,[0.02 0.02],
floatingse.member5.ring_stiffener_web_height,m,[0.],
floatingse.member5.ring_stiffener_web_thickness,m,[0.],
floatingse.member5.ring_stiffener_flange_width,m,[0.],
floatingse.member5.ring_stiffener_flange_thickness,m,[0.],
floatingse.member5.ring_stiffener_spacing,m,[0.],
floatingse.member5.axial_stiffener_web_height,m,[0.],
floatingse.member5.axial_stiffener_web_thickness,m,[0.],
floatingse.member5.axial_stiffener_flange_width,m,[0.],
floatingse.member5.axial_stiffener_flange_thickness,m,[0.],
floatingse.member5.axial_stiffener_spacing,rad,[0.],
floatingse.member5.ballast_grid,,[],
floatingse.member5.ballast_density,kg/m**3,[],
floatingse.member5.ballast_volume,m**3,[],
floatingse.member5.ballast_unit_cost,USD/kg,[],
floatingse.member5.s_ghost1,,[0.09552279],
floatingse.member5.s_ghost2,,[0.88059651],
